name,website,stage,focus_areas,location,check_size
Georgian,https://georgian.io,Series A Series B,"Technology AI Enterprise",Toronto Canada,
Real Ventures,https://www.realventures.com,Pre-Seed Seed,"Technology Consumer",Montreal Canada,
Inovia Capital,https://www.inovia.vc,Seed Series A Series B,"Technology Enterprise SaaS",Montreal Canada,
Panache Ventures,https://www.panache.vc,Pre-Seed Seed,"Technology AI SaaS",Calgary Canada,
Garage Capital,https://www.garagecapital.com,Pre-Seed Seed,"Technology Consumer",Toronto Canada,
Relay Ventures,https://relayventures.com,Seed Series A,"Technology Mobile Consumer",Toronto Canada,
BDC Capital,https://www.bdc.ca/en/bdc-capital,Seed Series A Series B,"Technology Healthcare CleanTech",Montreal Canada,
Version One Ventures,https://versiononeventures.com,Pre-Seed Seed Series A,"Technology SaaS Marketplace",Vancouver Canada,
Yaletown Partners,https://yaletown.com,Series A Series B,"Technology Enterprise",Vancouver Canada,
Lunar Ventures,https://lunar.vc,Pre-Seed Seed,"Deep Tech AI",Berlin Germany,
468 Capital,https://www.468capital.com,Seed Series A,"Technology Consumer",Berlin Germany,
La Famiglia,https://www.lafamiglia.vc,Seed Series A,"Technology Enterprise SaaS",Berlin Germany,
Greenoaks,https://greenoaks.com,Series A Series B Growth,"Technology Consumer Fintech",San Francisco CA,
XYZ Venture Capital,https://www.xyzvc.com,Pre-Seed Seed Series A,"Technology SaaS Consumer",San Francisco CA,
CRV,https://www.crv.com,Seed Series A Series B,"Technology Enterprise Consumer",San Francisco CA,
Madrona Venture Group,https://www.madrona.com,Seed Series A Series B,"Technology Enterprise AI",Seattle WA,
PSL Ventures,https://www.psl.com,Pre-Seed Seed,"Technology Enterprise",Seattle WA,
Flying Fish Partners,https://flyingfishvc.com,Seed Series A,"Technology Enterprise",Seattle WA,
Trilogy Equity Partners,https://www.trilogyequity.com,Seed Series A,"Technology Consumer Enterprise",Bellevue WA,
Elevate Capital,https://elevate.vc,Pre-Seed Seed,"Technology Diversity",Portland OR,
Seven Peaks Ventures,https://sevenpeaksventures.com,Pre-Seed Seed Series A,"Technology SaaS",Portland OR,
Pelion Venture Partners,https://pelionvp.com,Seed Series A,"Technology Enterprise SaaS",Salt Lake City UT,
Peterson Ventures,https://www.petersonventures.com,Seed Series A,"Technology SaaS Consumer",Salt Lake City UT,
Album VC,https://album.vc,Seed Series A,"Technology SaaS",Salt Lake City UT,
Sovereign's Capital,https://sovcap.com,Seed Series A,"Technology Consumer",Boise ID,
Cultivation Capital,https://cultivationcapital.com,Seed Series A,"Technology Healthcare AgTech",St. Louis MO,
Lewis and Clark Ventures,https://lewisandclarkventures.com,Series A,"Technology Industrial",St. Louis MO,
Bread and Butter Ventures,https://www.breadandbutter.vc,Pre-Seed Seed,"Technology Consumer",Minneapolis MN,
Great North Ventures,https://www.greatnorthventures.com,Pre-Seed Seed,"Technology Consumer SaaS",Minneapolis MN,
Resurgens Technology Partners,https://www.resurgenstech.com,Growth,"Technology SaaS",Atlanta GA,
Overline,https://overline.vc,Pre-Seed Seed Series A,"Technology Consumer SaaS",Nashville TN,
Frist Cressey Ventures,https://www.fristcressey.com,Seed Series A,"Healthcare Technology",Nashville TN,
Bullpen Capital,https://bullpencap.com,Seed Series A,"Technology SaaS Consumer",Menlo Park CA,
Cowboy Ventures,https://www.cowboy.vc,Seed Series A,"Technology Consumer SaaS",Palo Alto CA,
Homebrew,https://homebrew.co,Seed,"Technology SaaS",San Francisco CA,
True Ventures,https://trueventures.com,Seed Series A,"Technology Consumer SaaS",San Francisco CA,
Eniac Ventures,https://www.eniac.vc,Pre-Seed Seed,"Technology Mobile Consumer",New York NY,
First Round Capital,https://firstround.com,Seed,"Technology Enterprise Consumer",San Francisco CA,
Union Square Ventures,https://www.usv.com,Seed Series A,"Technology Consumer Crypto",New York NY,
Bling Capital,https://blingcap.com,Pre-Seed Seed,"Technology Consumer",San Francisco CA,
SV Angel,https://www.svangel.com,Pre-Seed Seed,"Technology Consumer",San Francisco CA,
Abstract Ventures,https://www.abstractvc.com,Seed Series A,"Technology SaaS",San Francisco CA,
Norrsken VC,https://www.norrsken.vc,Seed Series A,"Impact Technology Climate",Stockholm Sweden,
Kinnevik,https://www.kinnevik.com,Series A Series B Growth,"Technology Consumer Healthcare",Stockholm Sweden,
Cherry Ventures Berlin,https://www.cherry.vc,Pre-Seed Seed,"Technology Consumer SaaS",Berlin Germany,
42CAP,https://www.42cap.com,Pre-Seed Seed,"Technology SaaS B2B",Munich Germany,
UVC Partners,https://www.uvcpartners.com,Seed Series A,"Technology Deep Tech Industrial",Munich Germany,
BioGeneration Ventures,https://biogenerationventures.com,Seed Series A,"Biotech Healthcare",Amsterdam Netherlands,
Forbion,https://www.forbion.com,Seed Series A Series B,"Biotech Healthcare Life Sciences",Amsterdam Netherlands,
Gilde Healthcare,https://gildehealthcare.com,Seed Series A Series B,"Healthcare MedTech",Utrecht Netherlands,
Sofinnova Partners,https://www.sofinnova.com,Seed Series A Series B,"Biotech Healthcare",Paris France,
Omnes Capital,https://www.omnescapital.com,Seed Series A,"Technology Clean Tech",Paris France,
Isai,https://isai.fr,Seed Series A,"Technology SaaS Consumer",Paris France,
Newfund Capital,https://newfundcap.com,Seed Series A,"Technology SaaS Deep Tech",Paris France,
Alven Capital,https://www.alven.co,Seed Series A,"Technology SaaS Consumer",Paris France,
Serena Capital,https://www.serenacapital.com,Seed Series A Series B,"Technology SaaS Enterprise",Paris France,
Cathay Innovation,https://www.cathayinnovation.com,Series A Series B,"Technology Consumer AI",San Francisco CA,
Iris Capital,https://www.iriscapital.com,Series A Series B,"Technology IoT Cybersecurity",Paris France,
Gimv,https://www.gimv.com,Series A Series B Growth,"Technology Healthcare Consumer",Antwerp Belgium,
Smartfin,https://www.smartfin.vc,Series A,"Technology SaaS",Brussels Belgium,
Nauta Capital,https://nautacapital.com,Seed Series A,"Technology SaaS B2B",Barcelona Spain,
Lanzame Capital,https://www.lanzame.es,Pre-Seed Seed,"Technology Consumer",Madrid Spain,
Caixa Capital Risc,https://www.caixacapitalrisc.es,Seed Series A,"Technology Healthcare",Barcelona Spain,
Swisscom Ventures,https://ventures.swisscom.com,Seed Series A,"Technology Telecom Cybersecurity",Bern Switzerland,
Redalpine,https://www.redalpine.com,Seed Series A,"Technology SaaS Deep Tech",Zurich Switzerland,
btov Partners,https://www.btov.vc,Seed Series A,"Technology Deep Tech Industrial",St. Gallen Switzerland,
Cavalry Ventures,https://cavalry.vc,Pre-Seed Seed,"Technology SaaS B2B",Berlin Germany,
Visionaries Club,https://www.visionariesclub.com,Pre-Seed Seed,"Technology SaaS",Berlin Germany,
HorizonX Ventures,https://www.horizonx.com,Seed Series A,"Aerospace Defense Deep Tech",Chicago IL,
Boeing HorizonX,https://www.horizonx.com,Series A,"Aerospace Manufacturing Deep Tech",Chicago IL,
Space Capital,https://www.spacecapital.com,Seed Series A,"Space Technology Defense",New York NY,
Starburst Aerospace,https://starburst.aero,Seed Series A,"Aerospace Defense",Los Angeles CA,
Promus Ventures,https://www.promusventures.com,Seed Series A,"Space Defense Technology",Los Angeles CA,
Data Collective DCVC,https://www.dcvc.com,Seed Series A,"Deep Tech AI Data",San Francisco CA,
AI Fund,https://aifund.ai,Seed Series A,"AI Machine Learning",Palo Alto CA,
AIX Ventures,https://www.aixventures.com,Pre-Seed Seed,"AI Machine Learning",New York NY,
Radical Ventures,https://radical.vc,Seed Series A,"AI Machine Learning",Toronto Canada,
Air Street Capital,https://www.airstreet.com,Seed Series A,"AI Machine Learning",London UK,
Cohere Fund,https://cohere.com,Seed Series A,"AI NLP",Toronto Canada,
