name,website,stage,focus_areas,location,check_size
Swift Ventures,https://www.swiftventures.com,Pre-Seed Seed,"Consumer",San Francisco CA,
Sync Ventures,https://syncventures.com,Pre-Seed Seed,"Enterprise",New York NY,
Syntax Ventures,https://www.syntax.vc,Pre-Seed Seed,"Enterprise AI",San Francisco CA,
Systema Ventures,https://www.systemavc.com,Seed,"Climate Deep Tech",San Francisco CA,
TACK Ventures,https://www.tack.vc,Pre-Seed Seed,"Enterprise",Raleigh NC,
Tau Ventures,https://www.tauventures.com,Pre-Seed Seed,"AI Enterprise",San Francisco CA,
TDK Ventures,https://www.tdk-ventures.com,Seed Series A,"Deep Tech Hardware",San Jose CA,
Tectonic Ventures,https://www.tectonicventures.com,Pre-Seed Seed,"Deep Tech",Montreal Canada,
Third Point Ventures,https://thirdpointventures.com,Series A Growth,"Technology",New York NY,
Thomvest Ventures,https://thomvest.com,Series A Series B,"Fintech Enterprise",Menlo Park CA,
Threshold Ventures,https://threshold.vc,Series A Series B,"Enterprise SaaS",Menlo Park CA,
Thrive Capital,https://www.thrivecap.com,Series A Growth,"Consumer Enterprise",New York NY,
Top Harvest Capital,https://www.topharvest.com,Growth,"Enterprise",San Francisco CA,
Tower Capital,https://towercap.com,Growth,"Enterprise Software",St. Louis MO,
Tribeca Venture Partners,https://tribecavp.com,Seed Series A,"Enterprise Consumer",New York NY,
Triple Point Ventures,https://www.triplepointcapital.com,Series A Series B,"Technology",Menlo Park CA,
TTV Capital,https://ttvcapital.com,Seed Series A,"Fintech",Atlanta GA,
Tusk Venture Partners,https://www.tuskventures.com,Seed Series A,"Regulated Industries",New York NY,
Twenty First Ventures,https://www.twentyfirst.vc,Pre-Seed Seed,"Enterprise SaaS",Boston MA,
Two Bears Capital,https://www.twobearscapital.com,Pre-Seed Seed,"Consumer",New York NY,
UL Ventures,https://www.ul.com/ventures,Series A,"Safety Enterprise",Northbrook IL,
Uncorrelated Ventures,https://www.uncorrelated.com,Seed Series A,"Enterprise SaaS",San Francisco CA,
Unilever Ventures,https://www.unileverventures.com,Series A,"Consumer",London UK,
Union Labs,https://www.union.vc,Seed,"Deep Tech",San Francisco CA,
Upside Partnership,https://upside.com,Seed,"Enterprise Consumer",New York NY,
Urban-X,https://www.urban-x.com,Pre-Seed,"Cities Climate",New York NY,
UTA Ventures,https://www.unitedtalent.com,Seed,"Media Consumer",Los Angeles CA,
Valor Equity Partners,https://www.valorep.com,Growth,"Enterprise Deep Tech",Chicago IL,
Vanedge Capital,https://www.vanedgecapital.com,Seed Series A,"Enterprise SaaS",Vancouver Canada,
Vanguard Capital,https://www.vanguardcapital.com,Growth,"Technology",New York NY,
Vast Ventures,https://www.vast.vc,Pre-Seed Seed,"Enterprise Consumer",Los Angeles CA,
Velocity Capital,https://velocitycapital.com,Seed,"Enterprise",New York NY,
Venture Guides,https://www.ventureguides.com,Seed,"Enterprise SaaS",San Francisco CA,
Ventures Platform,https://ventures-platform.com,Pre-Seed Seed,"Enterprise Consumer",Lagos Nigeria,
Vertical Venture Partners,https://www.verticalvp.com,Series A Series B,"Technology",Palo Alto CA,
Vine Ventures,https://vineventures.com,Seed Series A,"Fintech Enterprise",New York NY,
Visible Partners,https://www.visiblepartners.com,Pre-Seed Seed,"Consumer",San Francisco CA,
VMG Partners,https://www.vmgpartners.com,Series A Growth,"Consumer Brands",San Francisco CA,
Wafra Capital Partners,https://www.wafra.com,Growth,"Enterprise Technology",New York NY,
WaitWhat Ventures,https://waitwhat.com,Pre-Seed Seed,"Consumer Impact",New York NY,
Warburg Pincus,https://www.warburgpincus.com,Growth,"Enterprise Fintech",New York NY,
WestBridge Capital,https://www.westbridge.in,Series A Growth,"Consumer Enterprise",Bangalore India,
White Star Capital,https://www.whitestarcp.com,Seed Series A,"Enterprise AI",New York NY Montreal,
Wildcat Venture Partners,https://www.wildcatventurepartners.com,Seed,"Deep Tech",San Francisco CA,
Wilshire Lane Capital,https://www.wilshirelane.com,Seed Series A,"Proptech",Los Angeles CA,
WndrCo,https://www.wndrc.com,Seed Series A,"Consumer Enterprise",Los Angeles CA,
Wolfpack Ventures,https://www.wolfpackventures.com,Pre-Seed Seed,"Enterprise",San Francisco CA,
XA Capital,https://www.xacapital.vc,Seed,"Enterprise AI",Singapore,
Yardstick Capital,https://yardstick.capital,Pre-Seed Seed,"Consumer Enterprise",New York NY,
YL Ventures,https://www.ylventures.com,Seed Series A,"Cybersecurity",Tel Aviv Israel,
Z80 Labs,https://z80labs.com,Pre-Seed Seed,"Enterprise",Buffalo NY,
Zeal Capital Partners,https://www.zealcp.com,Pre-Seed Seed,"Diversity Enterprise",Washington DC,
Zenith Ventures,https://zenithventures.co,Pre-Seed Seed,"Enterprise SaaS",San Francisco CA,
